Mutation_Type,DBS1,DBS2,DBS3,DBS4,DBS5,DBS6,DBS7,DBS8,DBS9,DBS10,DBS11
AC>CA,4.97126E-05,0.000374079,0.006347323,0.004141857,0.002139822,0.002660571,0.045880132,0.214923552,0.024591818,0.009630417,0.001369907
AC>CG,2.64067E-05,3.17067E-05,4.64804E-05,4.96223E-05,0.000461962,0.000146031,0.006247295,0.000972654,0.002069312,1.77008E-05,0.000193987
AC>CT,0.004291091,0.000126027,0.003018727,0,0.002019832,0.000240052,0.013594113,0.317886928,0.028490521,0.013500585,0.000755948
AC>GA,0.000127032,0.00023705,0.005847534,0.004401974,0.000557954,0.008581841,0.009725788,0.001159588,0.025291585,0.005350232,0.00044197
AC>GG,5.71145E-05,0,0.00044981,0,0,0.000104022,0.002538901,0.000809712,0.007127629,0.000590026,0.002249847
AC>GT,0.002960753,0.000280059,0.010095742,1.1205E-08,0.000821932,0.000132028,0.004498052,0.000150946,0.012095976,0.028701244,0.005709611
AC>TA,0.001200305,0.001480313,0.001009574,0.00127057,0.001479877,0.010102168,0.005417654,0.012395591,0.041186297,0.000105005,0.000263982
AC>TG,0.000172044,6.36135E-06,0,5.31238E-05,0.001119907,0.000449096,0.000997568,0.002569086,0.017894047,7.66033E-06,0.000238984
AC>TT,0.026506737,0.002920618,1.77925E-06,0.000161072,0.007469379,0.003180682,0.001179489,0.000267905,0.044385233,0.000710031,0.002819808
AT>CA,0.000482123,3.7808E-05,0.007037032,0.000916411,0.000107991,0.000114024,0.011095195,2.77901E-05,0.012695776,0.003530153,0.009479354
AT>CC,0.000297076,0,0.009076172,0,2.12982E-05,6.39137E-05,0.00625729,0.000142949,0.001779408,0.00116005,0.00189987
AT>CG,3.98101E-06,0,0.014593845,0,0,1.82039E-06,0.00110952,0.000265905,0,0.002590112,1.73988E-05
AT>GA,0.002120539,0.000168036,0.001809237,0.000324145,0.001109908,0.001620348,0.014393767,0.000161942,0.006367881,8.06035E-05,0.011199236
AT>GC,0.000174044,5.85124E-06,0.005247787,1.76079E-05,0,1.72037E-05,0.009285979,0.00022592,0.001809398,0.004080177,0.004179715
AT>TA,0.002340595,0.000458097,0.002349009,0.004532032,0.000792934,0.002200472,0.033985283,0.000314888,0.00919694,0.002930127,0.003839738
CC>AA,1.06027E-05,0.724153238,0.009086168,0,0,0,0,0.038086453,0,0.013700594,0
CC>AG,1.23031E-05,0.072615366,0,0.005432436,0.024297979,0.06161322,8.29641E-05,0.015494489,0.02639122,7.13031E-05,0.000971934
CC>AT,0.018704754,0.100021165,0.005887517,0.015707044,0.002429798,0.000438094,0.000851631,0.028789759,0.019493515,0.010500455,0.034497648
CC>GA,0.000134034,0.017703746,0.000634732,0.003551593,6.75944E-05,0.035507619,0.000301869,0.000808712,0.010996342,0.003390147,0.000952935
CC>GG,9.8225E-05,0.000450095,7.24694E-05,7.30328E-05,1.1899E-05,0.018103885,0.002049113,5.59801E-05,0.003058982,0,0.003449765
CC>GT,0.006921759,0.001100233,0,7.99358E-05,2.47979E-05,0.003440738,0.000162929,0.000228919,0.017894047,0.001080047,0.069495262
CC>TA,0.010402644,0.016003386,0.020791232,0.000170076,0.001269894,0.002220476,0,0.000715745,0.000686772,0.023901036,0.058795991
CC>TG,0.002550648,0.00023705,2.89878E-05,8.30372E-06,0.0048096,0.006871474,0.000235898,0.004208503,0.015494845,0,0.032297798
CC>TT,0.858218125,0,0,0,0,0,0,0.004378443,0,0.020600893,0.331977366
CG>AT,6.03153E-07,0.001150243,0.00028388,0.00029013,0.001639864,0.007541618,6.20731E-05,0.000321886,0.000218927,0,0.001819876
CG>GC,5.42138E-06,0.000369078,0,5.10229E-06,9.91917E-05,0.000590127,0.000186919,0,1.1996E-05,1.90008E-05,0.000165989
CG>GT,1.70043E-06,0.001280271,0,0,0.006479461,0.003220691,2.0691E-05,0.00120957,9.93669E-05,1.02004E-05,0.00117992
CG>TA,0.000356091,0,0.097858731,0,0,0,0,0.00050582,0,0.358015516,0
CG>TC,1.26032E-05,0.002150455,0.000721696,0,2.97975E-05,0.008911912,4.86789E-05,0.000904678,0.000132956,0.002650115,0.000684953
CG>TT,0.000124032,0.005561177,0.007166978,0.000361162,0.002219815,0.018704013,3.12865E-05,0.000328883,8.28724E-05,0.007770337,0.000698952
CT>AA,2.7707E-05,0.003210679,0.000102957,0,0.465961237,0.004480961,0,0.020592675,0,0.00393017,0.0043997
CT>AC,0.000419107,0,0.029087733,0,0.208982615,0.001950419,0,0.013995022,0,0.013000563,0.00234984
CT>AG,0,0.000587124,0.113951944,0.000363163,0.026697779,0.039508477,0.001259455,0.020392746,0.000581806,0.026501149,0.000495966
CT>GA,8.92227E-05,1.81038E-05,1.71927E-05,0.000673302,0.016098661,0.007341575,0.001869191,0.005568019,0.002839055,0,0.011599209
CT>GC,0.000252064,0.000134028,2.68887E-05,7.22324E-05,0.004849597,0.001790384,0.015593248,0.000236916,0.003108966,0,0.006109583
CT>GG,1.08027E-05,8.9819E-05,5.98748E-05,0.000926415,0.000569953,0.006811462,0.003998269,0.000305891,0.010396541,0,0.004019726
CT>TA,0.007811985,0.003380715,0.000183922,0,0.003339722,8.8419E-05,0,0.010896124,0,0.004030175,0.041697157
CT>TC,0.010502669,3.84081E-05,0.006337327,0,0.00023698,0,0.063172644,0.017793671,2.999E-05,0.002750119,0.002989796
CT>TG,0.002240569,0.000390083,0.052177995,3.08138E-05,0.000873927,0.011202404,0,0.000965657,0,0.045701981,0.001479899
GC>AA,0.001580402,0.005081075,2.15909E-05,0.328147163,0.000132989,0,0,0.012895413,0,0.004080177,0.000999932
GC>AG,0.000107027,0.000325069,0.00052178,0.01130507,0.002659779,0.003660785,7.29684E-05,0.008516971,0.123958759,0,0.003289776
GC>AT,4.87124E-05,0.000953202,0.003988318,0.009244146,0.001569869,0.001880403,0.000349849,0.005508041,0.125958094,0.007750336,0.027198146
GC>CA,5.76146E-05,0.001060224,0.0002369,0.011905339,0.004579619,0.008691865,0.00066971,0.004828283,0.027390887,0.000105005,0.002109856
GC>CG,5.15131E-06,6.69142E-05,0,9.83441E-07,0.000322973,0,0.002648853,0.000241914,0.002499169,0,0.004039725
GC>TA,8.2721E-07,0.000736156,0.004228217,0.017707941,0.000221982,0.000829178,6.2373E-06,0.008556956,0.013995344,0.002810122,0.000242983
TA>AT,0.000505128,0.002750582,0.001449389,0.030413639,0.001869844,0.008571839,0.055775847,0.009696551,0.015494845,0.010400451,0.002229848
TA>CG,7.55192E-06,0.000018904,0.003338592,0.000389175,7.88934E-06,0.000259056,0.00304868,2.08926E-05,0.001349551,0.004110178,0.00058396
TA>CT,0.000702178,0.000280059,0.000343855,0.008723912,0.002269811,0.026105602,0.029087404,0.004098542,0.014195277,0.00162007,0.00337977
TA>GC,2.01051E-05,8.22174E-05,0.001989161,7.02315E-05,5.21957E-05,0.000264057,0.001509346,0.000788719,0.000578807,0,0.00101993
TA>GG,7.03179E-05,7.89167E-05,0.005457698,0.002220996,0.001629864,0.000218047,0.004308134,0.000216923,0.003248919,0.008590372,0.000374974
TA>GT,0.001150292,0.001300275,0.000361847,0.008063616,0.001909841,6.25134E-05,0.026288616,0.000152946,0.007777412,0.003610156,0.002669818
TC>AA,1.09028E-05,0.001450307,0.005487686,0.379170045,0.040396639,0.045809829,0.019591516,0.038786204,0.003688773,0.007560328,0.000216985
TC>AG,3.09079E-06,0.000200042,6.13741E-06,0.001870839,0.014898761,0.008281777,3.99827E-06,0.011595875,0.046684468,0.000271012,0.047396768
TC>AT,0.002460625,0,0.001119528,0.008413773,0.000747938,0.000594127,0.002289009,0.018493422,0.051782772,0.003090134,0.084594232
TC>CA,4.42112E-06,0.000682144,0.065472389,0.084637957,0.001429881,0.011802532,0.002708827,0.017593742,0.04878377,0.025201092,0.000281981
TC>CG,3.30084E-05,3.89082E-06,0.000115951,0.000400179,0,0.000862185,0.001629294,0.010896124,0.007787409,0.000842036,0.003239779
TC>CT,0.001900483,0.003350709,0.019391822,8.28372E-06,0.001049913,0.009392015,0.009186022,0.008756885,0.051382905,0.026201136,0.02009863
TC>GA,6.42163E-05,0.000885187,0.077767204,0.036416331,2.4598E-05,0.007341575,0,0.009606583,0.017294246,0.043801898,0.000234984
TC>GG,0.000411104,9.87209E-06,0.000176925,1.04047E-05,3.47971E-05,0.001510324,0.000705694,0.001909321,0.003728759,0,0.0073295
TC>GT,0.005101297,8.57181E-05,0.043381705,0,3.85968E-05,0,0,0.000275902,0,0.045901989,0.015198964
TG>AA,0.001370348,0.002960626,6.67718E-05,0.007633423,0.017998503,0.025505473,0.022590218,0.008646924,0.015794745,0.001420062,0.007829466
TG>AC,0.00023706,0.000220047,8.03661E-05,0.000118053,0.001459879,0.010102168,0.002618866,0.003848631,0.007267582,0.000207009,0.000865941
TG>AT,0.002410613,0.004290908,0.000957596,0,0.020398303,0.22104743,0.001289442,0.008217077,0.000745752,0.002500108,0.010499284
TG>CA,0.000279071,0.00014403,0.015893297,0.000804361,0.00047596,0.011402447,0.023889655,0.005058201,0.022792417,0.029201266,0.056096175
TG>CC,0.000103026,5.94126E-05,0.000483796,0.000120054,0.000505958,0.007891693,0.001049546,0.001249556,0.011796075,0.000190008,0.003129787
TG>CT,0.00185047,0.00307065,0.006067441,8.21368E-05,0.000327973,0.27505902,0,0.019493066,0.000967678,0.004330188,0.00557962
TG>GA,0.000407103,0.001470311,0.00052278,0.007853522,0.003269728,0.007441597,0.008246429,0.000270904,0.006177945,2.02009E-05,0.007309502
TG>GC,8.89226E-05,0.000272058,0.00049779,0.000604271,0.000291976,0.005601202,0.003878321,0.003538741,0.0039087,0,0.006119583
TG>GT,0.001900483,0.006401355,0.010295658,3.23145E-05,0.082693121,0.027405881,0.00870623,0.007857205,0.003338889,0.002170094,0.005239643
TT>AA,0.005491396,0.004310912,0.003218643,1.80081E-05,0.004919591,0.000193041,0.23489828,0.003578727,0.000340887,0.014500628,0.004769675
TT>AC,0.000720183,0.000345073,0.002428976,6.60296E-07,0.00096592,0.000128027,0.039982686,0,0.006657785,0,0.001039929
TT>AG,0.000418106,0.000215046,0.022890347,0,0.000892926,0.002120455,0.053876669,0.014594809,0.000917695,0.006960302,0.001269913
TT>CA,0.000725184,0,0.000693707,0,0,0,0.09765771,0.006287763,0,0.001290056,0.002019862
TT>CC,0.005421378,2.98063E-06,0.00815656,0,0.000772936,0,0.035384677,0.000293895,0.005158284,0.002880125,0.003999727
TT>CG,8.38213E-05,1.52032E-05,0.031786595,0,0,1.12024E-05,0.002668844,0.000115959,1.97934E-05,0.008580372,0
TT>GA,0.001860473,4.79101E-05,0.012294815,0,2.98975E-05,0,0.043581128,0.003628709,0,0.008690377,0.000706952
TT>GC,0.001060269,1.54033E-06,0.066471967,0,5.65953E-05,4.09088E-07,0.003668411,0.000285898,3.55882E-05,0.025801118,5.77961E-06
TT>GG,0.001610409,0,0.170927916,0,0,0,0,0.000537809,0,0.084703671,0
