Signature,Signature_Group,Color
SBS24,Aflatoxin,#9B6EF3
SBS1,Age,#FCC201
SBS5,Age,#FCC201
SBS16,Alcohol,#008C65
SBS11,Alkylating Agent Temozolomide,#DA9101
SBS13,APOBEC Activity,#F99D4D
SBS2,APOBEC Activity,#F99D4D
SBS18,Damage by Reactive Oxygen Species,#ABE7F4
SBS14,Defective DNA Mismatch Repair,#FF8650
SBS15,Defective DNA Mismatch Repair,#FF8650
SBS20,Defective DNA Mismatch Repair,#FF8650
SBS21,Defective DNA Mismatch Repair,#FF8650
SBS26,Defective DNA Mismatch Repair,#FF8650
SBS44,Defective DNA Mismatch Repair,#FF8650
SBS6,Defective DNA Mismatch Repair,#FF8650
SBS22,Exposure to Aristolochic Acid,#C7CEEA
SBS42,Exposure to Haloalkanes,#006FFF
SBS3,Homologous Recombination Deficiency,#FF555E
SBS36,MUTYH Mutations,#B5EAD7
SBS30,NTHL1 Mutations,#FFE981
SBS10a,POLE Mutations,#FFDAC1
SBS10b,POLE Mutations,#FFDAC1
SBS27,Possible Sequencing Artifact,#D10161
SBS43,Possible Sequencing Artifact,#D10161
SBS45,Possible Sequencing Artifact,#D10161
SBS46,Possible Sequencing Artifact,#D10161
SBS47,Possible Sequencing Artifact,#D10161
SBS48,Possible Sequencing Artifact,#D10161
SBS49,Possible Sequencing Artifact,#D10161
SBS50,Possible Sequencing Artifact,#D10161
SBS51,Possible Sequencing Artifact,#D10161
SBS52,Possible Sequencing Artifact,#D10161
SBS53,Possible Sequencing Artifact,#D10161
SBS54,Possible Sequencing Artifact,#D10161
SBS55,Possible Sequencing Artifact,#D10161
SBS56,Possible Sequencing Artifact,#D10161
SBS57,Possible Sequencing Artifact,#D10161
SBS58,Possible Sequencing Artifact,#D10161
SBS59,Possible Sequencing Artifact,#D10161
SBS60,Possible Sequencing Artifact,#D10161
SBS38,Possible Ultraviolet Light Exposure,#8BF18B
SBS32,Prior Treatment with Azathioprine,#83B2FF
SBS31,Prior Treatment with Platinum Drugs,#CCCCCC
SBS35,Prior Treatment with Platinum Drugs,#CCCCCC
SBS9,Somatic Hypermutation,#E98C1C
SBS29,Tobacco Smoking/Chewing,#00C891
SBS4,Tobacco Smoking/Chewing,#00C891
SBS7a,Ultraviolet Light Exposure,#8BF18B
SBS7b,Ultraviolet Light Exposure,#8BF18B
SBS7c,Ultraviolet Light Exposure,#8BF18B
SBS7d,Ultraviolet Light Exposure,#8BF18B
SBS12,Unknown,#808080
SBS17a,Unknown,#808080
SBS17b,5-Fluorouracil Treatment,#5B7CB2
SBS19,Unknown,#808080
SBS23,Unknown,#808080
SBS25,Unknown,#808080
SBS28,Unknown,#808080
SBS33,Unknown,#808080
SBS34,Unknown,#808080
SBS37,Unknown,#808080
SBS39,Unknown,#808080
SBS40,Unknown,#808080
SBS41,Unknown,#808080
SBS8,Unknown,#808080
SBS84,Activation-induced Cytidine Deaminase (AID) Activity,#c3a8f7
SBS85,Activation-induced Cytidine Deaminase (AID) Activity,#c3a8f7
SBS86,Unknown Chemotherapy Treatment,#8e8e8e
SBS87,Thiopurine Chemotherapy Treatment,#8e8e8e
SBS88,Colibactin Exposure,#40d8ae
SBS89,Unknown,#808080
SBS90,Duocarmycin Exposure,#665bb2
SBSR1,Possible Sequencing Artifact,#D10161
SBSR2,Possible Sequencing Artifact,#D10161
SBSR3,Possible Sequencing Artifact,#D10161
SBSR4,Possible Sequencing Artifact,#D10161
SBSR5,Possible Sequencing Artifact,#D10161
SBSR6,Possible Sequencing Artifact,#D10161
SBSR7,Possible Sequencing Artifact,#D10161
SBSR8,Possible Sequencing Artifact,#D10161
SBSR9,Possible Sequencing Artifact,#D10161
Potassium_bromate (875 uM),ROS,#ABE7F4
DBADE (0.109 uM),PAHs,#CCCCCC
Formaldehyde (120 uM),Aldehydes,#CCCCCC
Semustine (150 uM),Drug Therapy,#CCCCCC
Temozolomide (200 uM),Drug Therapy,#CCCCCC
DMH (11.6 mM) + S9,Alkylating Agents,#CCCCCC
Benzidine (200 uM),Aromatic Amines,#CCCCCC
DBP (0.0039 uM),PAHs,#CCCCCC
MX (7 uM) + S9,Compendium - Others,#CCCCCC
Methyleugenol (1.25 mM),Compendium - Others,#CCCCCC
4-ABP (300 uM) + S9,Aromatic Amines,#CCCCCC
DBPDE (0.000156 uM),PAHs,#CCCCCC
DBP (0.0313 uM) + S9,PAHs,#CCCCCC
DBADE (0.0313 uM),PAHs,#CCCCCC
1_8-DNP (0.125 uM),Nitro-PAHs,#CCCCCC
BPDE (0.125 uM),PAHs,#CCCCCC
MNU (350 uM),Alkylating Agents,#CCCCCC
